max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_r2,trees
3,0.01,0.6,0.7,10,9.47998332977295,9.5075101852417,0.3686593770980835,702
3,0.01,0.6,0.8,1,9.488690376281738,9.509416580200195,0.36886560916900635,703
3,0.01,0.6,0.8,3,9.485379219055176,9.511408805847168,0.3686732053756714,703
3,0.01,0.6,0.8,5,9.483721733093262,9.504976272583008,0.36895954608917236,703
3,0.01,0.6,0.8,10,9.477529525756836,9.488347053527832,0.3696233034133911,730
3,0.01,0.7,0.6,1,9.494291305541992,9.523707389831543,0.3673363924026489,713
3,0.01,0.7,0.6,3,9.469532012939453,9.515979766845703,0.36910581588745117,854
3,0.01,0.7,0.6,5,9.4803466796875,9.523043632507324,0.36767375469207764,702
3,0.01,0.7,0.6,10,9.456686019897461,9.509405136108398,0.37058025598526,860
3,0.01,0.7,0.7,1,9.447851181030273,9.519339561462402,0.3694295287132263,854
3,0.01,0.7,0.7,3,9.471517562866211,9.517149925231934,0.3692331910133362,765
3,0.01,0.7,0.7,5,9.453146934509277,9.523880958557129,0.36906665563583374,900
3,0.01,0.7,0.7,10,9.449925422668457,9.501949310302734,0.3716591000556946,849
3,0.01,0.7,0.8,1,9.475922584533691,9.513130187988281,0.36975961923599243,849
3,0.01,0.7,0.8,3,9.486027717590332,9.520051002502441,0.36906898021698,760
3,0.01,0.7,0.8,5,9.482072830200195,9.517162322998047,0.3692261576652527,760
3,0.01,0.7,0.8,10,9.47303295135498,9.49537181854248,0.3711082339286804,763
3,0.01,0.8,0.6,1,9.479348182678223,9.538932800292969,0.3668760061264038,886
3,0.01,0.8,0.6,3,9.48353385925293,9.548226356506348,0.3655340075492859,886
3,0.01,0.8,0.6,5,9.483283042907715,9.541854858398438,0.3664698600769043,808
3,0.01,0.8,0.6,10,9.471935272216797,9.5391263961792,0.366588830947876,876
3,0.01,0.8,0.7,1,9.470048904418945,9.523693084716797,0.3677860498428345,876
3,0.01,0.8,0.7,3,9.474052429199219,9.53238582611084,0.3668503165245056,808
3,0.01,0.8,0.7,5,9.463536262512207,9.521993637084961,0.368152916431427,808
3,0.01,0.8,0.7,10,9.45455265045166,9.516407012939453,0.3687729239463806,876
3,0.01,0.8,0.8,1,9.473564147949219,9.506784439086914,0.3700476288795471,808
3,0.01,0.8,0.8,3,9.46744441986084,9.513809204101562,0.36921608448028564,808
3,0.01,0.8,0.8,5,9.457279205322266,9.504000663757324,0.3706222176551819,808
3,0.01,0.8,0.8,10,9.465314865112305,9.505228042602539,0.3712564706802368,808
3,0.02,0.6,0.6,1,9.489805221557617,9.534835815429688,0.37017762660980225,444
3,0.02,0.6,0.6,3,9.48962116241455,9.542430877685547,0.3698955178260803,435
3,0.02,0.6,0.6,5,9.477262496948242,9.532157897949219,0.3695831894874573,569
3,0.02,0.6,0.6,10,9.473607063293457,9.532041549682617,0.37044042348861694,435
